nom;iso;lits
Centre Hospitalier Danny Foster;BRA;3378
Centre de Recherche Louis Rardin;BRA;2929
Institut Jeff Smith;BRA;4317
Centre Hospitalier Universitaire Maurice Espinoza;BRA;6658
Clinique Rebekah McElrath;BRA;2661
Hôpital James Walter;BRA;8715
Centre Médical Richard Brown;BRA;7668
Institut Richard Reed;BRA;4302
Hôpital Charlie Worden;BRA;4038
Hôpital Constance Westrum;BRA;1264
Institut Ginger McGinity;BRA;3169
Institut de Santé Peggy Levy;BRA;3339
Centre Teodora Brown;BRA;2650
Centre Hospitalier Universitaire Marva Merriweather;BRA;1828
Clinique Heidi Wallace;BRA;2358
Institut de Santé Paul Campbell;BRA;2495
Hôpital Amelia Vasquez;BRA;5104
Centre Leslie Baum;BRA;2093
Centre Hospitalier Micheal Daniello;BRA;7315
Centre Hospitalier Bob Penn;BRA;7375
Centre Hospitalier Hazel Kinderknecht;BRA;8382
Clinique Clyde Gonzalez;BRA;9632
Centre Hospitalier Carol Chamberlin;BRA;2617
Hôpital Kenneth Dunkelberger;BRA;6466
Institut de Santé Mark Peterson;BRA;3381
Institut de Santé Michael Romain;BRA;4481
Centre de Recherche Joe Lawrence;BRA;3020
Centre Médical Dennis Bohl;BRA;8787
Centre Shawn Richards;BRA;3686
Institut Ella Hicks;BRA;9914
Centre Paul Fernandez;BRA;2297
Institut Annette Barnette;BRA;625
Centre Hospitalier Universitaire Michael Gaspard;BRA;1521
Centre de Recherche Esther Taylor;BRA;3426
Centre de Recherche Susan Minto;BRA;9496
Institut de Santé Walter Chavez;BRA;9093
Institut Heather Hickey;BRA;1122
Centre Hospitalier David Hinson;BRA;4831
Centre Robert Hicks;BRA;6644
Centre Ada Knapps;BRA;7658
Centre Hospitalier Universitaire Elda Henao;BRA;599
Centre de Recherche Carrie Velasquez;BRA;8371
Institut de Santé Erma Ryan;BRA;735
Centre Hospitalier Audrey Hernandez;BRA;2865
Centre Hospitalier Universitaire James Patterson;BRA;2003
Centre Hospitalier Universitaire My Hughes;BRA;4573
Centre Hospitalier Universitaire Mary Cantor;BRA;3986
Centre Hospitalier Universitaire Daniel Slate;BRA;3664
Centre Hospitalier Universitaire Christopher Hartly;BRA;3494
Centre de Recherche Frances Sanchez;BRA;9053
Centre Médical Michael Hazlett;BRA;3641
Centre Hospitalier Universitaire Florence Torres;BRA;410
Institut de Santé Dwight Kitchen;BRN;1052
Centre de Recherche Eric Hunt;BRN;205
Institut de Santé Ester Gardea;BGR;8210
Centre Hospitalier Universitaire Patrick Allison;BGR;8908
Centre Hospitalier Kellie Flunker;BGR;1518
Institut Larry Ramer;BGR;6891
Institut de Santé Earl McGee;BGR;2754
Centre de Recherche Lyle Sparkman;BGR;9224
Clinique Cora Blake;BGR;9972
Centre de Recherche Ellsworth Fleming;BGR;3172
Institut de Santé Marion Pitman;BGR;1081
Centre de Recherche Christopher Riccobono;BGR;343
Centre Samuel Beckner;BFA;3534
Clinique Stephen Sipes;BFA;581
Centre Gloria Grogan;BFA;2160
Centre Médical Richard Halkett;BFA;1084
Centre de Recherche Frank Wadsworth;BFA;704
Centre Médical Anthony Parker;BFA;468
Centre de Recherche Connie Williams;BDI;2936
Institut Amy Carpenter;BDI;4084
Institut de Santé Mildred Teed;BDI;1795
Centre Hospitalier Universitaire Stephen Youngblood;BDI;675
Hôpital Virgie Swanson;BDI;391
Institut Laura Phillips;KHM;2744
Centre Hospitalier Edith Wyatt;KHM;6808
Centre Hospitalier Universitaire Peggy Montgomery;KHM;1118
Hôpital Mabel Cardenas;KHM;1308
Centre Hospitalier Universitaire Daniel Olesiak;KHM;1181
Hôpital Richard Kelliher;KHM;358
Institut Jeanette Dawson;CMR;3033
Institut Stanley Milligan;CMR;4844
Centre Médical Delores Sakai;CMR;5275
Centre Patricia Dorsey;CMR;7319
Hôpital Myrtle Savannah;CMR;1263
Hôpital Chris Dunwoody;CMR;8229
Centre Hospitalier Joanne Rodriguez;CMR;2943
Centre Hospitalier Jennifer Cole;CMR;1515
Centre Médical Michael Morris;CMR;217
Institut de Santé Rodney Quigley;CAN;2510
Institut de Santé Alice Stinson;CAN;1588
Centre Mildred Cerano;CAN;5089
Clinique Byron Smith;CAN;5722
Hôpital Thelma Porto;CAN;8799
Centre Viola Larocque;CAN;3628
Institut de Santé Penny Elliott;CAN;1802
Institut Paul Althoff;CAN;8414
Centre Irvin Myers;CAN;5968
Clinique Evelyn Campbell;CAN;7287
Hôpital Casandra Hendrickson;CAN;7220
Institut de Santé Antonio Ponticello;CAN;737
Centre Médical Terrie Toney;CAN;7590
Centre Hospitalier Daryl Bartow;CAN;6070
Hôpital Dwayne Borges;CAN;9892
Centre de Recherche Jacob Quarterman;CAN;2391
Centre Hospitalier Universitaire Terri Kelsey;CAN;8305
Centre Patricia Place;CAN;1054
Hôpital Mary Loftis;CAN;382
Centre de Recherche Christine Degiulio;CPV;813
Centre Mike Luff;CPV;364
Centre Hospitalier Universitaire Edward Lester;CAF;2441
Centre Hospitalier Universitaire Andrea Sigler;CAF;794
Clinique Joshua Serra;CAF;1285
Centre Charles Mackey;CAF;441
Centre Hospitalier Universitaire Carlton Brennan;CHL;7110
Centre de Recherche Deborah Macdonald;CHL;8035
Clinique Julio Atkinson;CHL;7191
Clinique Virginia Schwager;CHL;8057
Centre de Recherche Tracy Erick;CHL;5926
Hôpital Olga Dillon;CHL;3815
Clinique Wayne Granderson;CHL;431
Centre Hospitalier Universitaire Kristen Davis;CHN;4639
Centre de Recherche Denise Donze;CHN;6236
Centre de Recherche Ethel Longo;CHN;1600
Centre Médical Jerry Conoly;CHN;9552
Institut Roberta Cross;CHN;9882
Centre Hospitalier Universitaire Susan Cabrera;CHN;9280
Hôpital Ned Huizar;CHN;8505
Centre de Recherche Ida Flanagan;CHN;8497
Centre Médical Erika Lantz;CHN;3830
Centre Hospitalier Amy Gilligan;CHN;8125
Centre Médical Courtney Duncan;CHN;532
Centre Hospitalier David Pretlow;CHN;9255
Centre Woodrow Chacon;CHN;7625
Centre Hospitalier Bertha Jones;CHN;2882
Centre Hospitalier Universitaire Louise Millet;CHN;3759
Clinique Benjamin Roper;CHN;3069
Centre Adam Fearer;CHN;5807
Centre de Recherche Brenda Bradbury;CHN;8513
Centre de Recherche Susan Brackett;CHN;7743
Centre Médical Walter Lopez;CHN;7756
Institut de Santé Noel Burdge;CHN;2797
Centre Médical Maria Karim;CHN;1030
Centre Lakeisha Rains;CHN;9058
Institut de Santé Akilah Seybold;CHN;4954
Centre Hospitalier Universitaire Brenda Messinger;CHN;6845
Centre Louis Charest;CHN;3897
Centre de Recherche Liz Frank;CHN;8880
Centre Hospitalier Terry Walters;CHN;2601
Clinique Annette Peachee;CHN;1671
Centre Rickey Lewis;CHN;2946
Institut Ellen Daniels;CHN;5164
Centre Médical Nancy Sahakyan;CHN;9964
Centre Sonya Anselmo;CHN;704
Hôpital James Berry;CHN;4981
Centre Hospitalier Anthony Benford;CHN;1503
Institut Betty Grignon;CHN;7482
Institut Myrtle Fritz;CHN;9624
Hôpital William Lockett;CHN;8480
Institut Dora Vollert;CHN;6979
Centre Médical Joseph Essex;CHN;2168
Centre Médical Ida Ballejo;CHN;4288
Centre Médical Angela McCollin;CHN;2280
Centre de Recherche Mary Davenport;CHN;7511
Centre Caitlin Coe;CHN;1154
Clinique Allan Fernandez;CHN;7955
Clinique Becky Mitchell;CHN;3327
Centre Corene Smith;CHN;4232
Centre de Recherche Charles Kamiyama;CHN;3160
Centre Hospitalier Pearl McIntire;CHN;5293
Institut Rosa Chavez;CHN;2699
Centre Bobby Fries;CHN;8909
Institut de Santé Sarah Beckham;CHN;8165
Centre Hospitalier Universitaire Joan Gomez;CHN;8210
Centre Hospitalier Sarah Hernandez;CHN;6398
Centre de Recherche William Sanchez;CHN;8600
Centre de Recherche Rolando Methvin;CHN;2900
Centre James Murray;CHN;7430
Centre Albert Reyes;CHN;8513
Centre Médical Michael Otano;CHN;4593
Centre de Recherche Jeanine Mizyed;CHN;4503
Institut Sophie Farmer;CHN;7732
Centre Christian Lara;CHN;6312
Centre Hospitalier Universitaire John Sloane;CHN;7296
Centre Jessica Rivera;CHN;8252
Clinique Ruth Keuter;CHN;2033
Centre Médical Joan Legler;CHN;7904
Institut Kelley Botello;CHN;4003
Hôpital Carmen Roy;CHN;5754
Hôpital Laura Puentes;CHN;2450
Institut Derek Runion;CHN;5213
Centre de Recherche Julie Taylor;CHN;3284
Centre de Recherche Wayne Lee;CHN;8449
Clinique Thomas Munro;CHN;1564
Centre Paul Gonska;CHN;4442
Centre Hospitalier Universitaire Gabriel McCarty;CHN;4415
Centre Hospitalier Joanne Compton;CHN;3554
Centre Ronald Petkovic;CHN;7520
Centre de Recherche Ronald Majka;CHN;6659
Centre de Recherche Rosalinda Miguel;CHN;2782
Centre Hospitalier Milton Contreras;CHN;7729
Clinique Paul Mendez;CHN;6965
Centre Hospitalier Julie Warwick;CHN;9343
Centre de Recherche Wanita Hampton;CHN;5072
Centre de Recherche Michelle Colman;CHN;2176
Institut Maria Stonge;CHN;3768
Centre Hospitalier Universitaire Joseph Hammer;CHN;3138
Centre Hospitalier Universitaire Sheri Bingham;CHN;1017
Hôpital James Taveras;CHN;8625
Institut Jessica Taff;CHN;9716
Centre Hospitalier Nelson Guerra;CHN;1761
Centre Hospitalier Eric Singh;CHN;4214
Centre Hospitalier Adam Blowers;CHN;757
Clinique Errol Richards;CHN;4319
Centre Hospitalier Mary Gomez;CHN;2496
Centre de Recherche Noelle Maner;CHN;7055
Institut de Santé William Culpepper;CHN;3809
Hôpital Lynn Carlos;CHN;4867
Centre de Recherche Lydia Alcantar;CHN;2435
Centre Médical John Solano;CHN;9767
Centre Hospitalier Ray Morgan;CHN;5975
Hôpital Patricia Derr;CHN;9928
Centre Shirley Woody;CHN;5409
Institut Maria Moore;CHN;613
Institut Shanell Wuesthoff;CHN;3528
Centre Médical Percy Nguyen;CHN;8341
Clinique Jerry Nguyen;CHN;1990
Centre Hospitalier Janie Leader;CHN;3635
Centre Hospitalier Alvin Davis;CHN;6276
Centre Médical Antonio Kelly;CHN;5095
Centre Médical William Smith;CHN;3966
Centre Médical Sean Hopkins;CHN;2533
Institut Dorothy Chester;CHN;1965
Centre Hospitalier Universitaire Willie Rush;CHN;8333
Centre Nicholas Mills;CHN;7201
Clinique Gloria Dicker;CHN;1789
Clinique Esther Brawley;CHN;6747
Centre Médical Juan Martin;CHN;1739
Centre Médical Kimberly Swanson;CHN;4418
Centre Hospitalier Universitaire Carolyn Anthony;CHN;1631
Centre Maria Glenn;CHN;4975
Institut de Santé Gloria Cohen;CHN;7900
Centre Yvonne Cain;CHN;542
Centre Velma Noble;CHN;2369
Centre de Recherche Simonne Wyka;CHN;1600
Institut de Santé Arthur Gale;CHN;4442
Institut de Santé Troy Labonte;CHN;6754
Centre Hospitalier Universitaire Trinidad Rawlins;CHN;3338
Centre Lewis Potter;CHN;2586
Centre de Recherche Scott Saunders;CHN;9929
Centre Médical Daniel Burnett;CHN;5409
Centre Jennifer Halloway;CHN;8050
Centre Susan Sanchez;CHN;8698
Institut de Santé Janice Cecil;CHN;4606
Centre Hospitalier Leo Klinkel;CHN;1072
Centre Hospitalier Universitaire Donnell Harrison;CHN;6158
Hôpital Tyrone Casey;CHN;9428
Centre Francis McGlothern;CHN;9394
Centre Laverne Tew;CHN;6208
Centre Deborah Tissue;CHN;4731
Centre Hospitalier Universitaire Virginia Riggins;CHN;1016
Centre Adam Winter;CHN;2395
Clinique Vivian Tennant;CHN;1727
Centre de Recherche Judy Eldridge;CHN;9877
Centre Médical Lindsay Kent;CHN;1999
Centre Médical Christopher Snow;CHN;7022
Centre Hospitalier Rene Weitz;CHN;6740
Centre Hospitalier Universitaire Donald Kemp;CHN;5107
Centre de Recherche Rose Lagmay;CHN;8647
Institut de Santé Bertha Jones;CHN;7116
Centre Hospitalier Justin Brown;CHN;1752
Centre Rosemarie Morales;CHN;8267
Institut Mark Gross;CHN;9829
Centre Hospitalier James Moore;CHN;7834
Centre Eleanor Ernhart;CHN;8501
Centre Médical Michael Hong;CHN;1861
Centre Médical Lauren Wood;CHN;4218
Institut Harley Fuhr;CHN;8559
Institut Sandra Demoss;CHN;4779
Centre Hospitalier Universitaire Natasha Caravelli;CHN;1561
Centre Ernest Archibald;CHN;7317
Centre Hospitalier Kathy Earls;CHN;6020
Centre Brenda Taylor;CHN;7001
Clinique Anisha Schran;CHN;3396
Institut de Santé William Kelly;CHN;1821
Centre Raymond Weishaar;CHN;5897
Centre Katie Morales;CHN;2328
Centre Heather Zubiate;CHN;6676
Centre Ada Taylor;CHN;8984
Centre Kevin Julien;CHN;616
Centre Médical Eleanor Katzer;CHN;903
Centre Hospitalier Universitaire Tarsha Ohly;CHN;3477
Centre de Recherche Mary Testino;CHN;4753
Institut de Santé Richard Rogers;CHN;8428
Clinique Rebecca Felicia;CHN;7136
Centre Bobbye Mijares;CHN;5845
Centre de Recherche Connie Nadeau;CHN;2759
Centre Hospitalier Shirley Prairie;CHN;7030
Centre Hospitalier Hope Valdez;CHN;8343
Centre de Recherche Patricia Buerger;CHN;9226
Centre Nancy Wheller;CHN;5179
Centre de Recherche Charles Hall;CHN;2398
Centre de Recherche Emma Brown;CHN;7426
Institut de Santé James Staniszewski;CHN;8226
Centre de Recherche Charles Clark;CHN;1052
Centre Médical Michael Triplett;CHN;6551
Centre Médical Mario Elder;CHN;3198
Centre Molly Schuyler;CHN;3201
Institut Penny Custer;CHN;9423
Institut Armand Blackman;CHN;5445
Centre de Recherche Joseph McHale;CHN;8728
Centre de Recherche Ricardo Dejean;CHN;1678
Centre Douglas Rodrigues;CHN;2692
Centre Hospitalier Universitaire Steven Schaeffler;CHN;7947
Centre de Recherche Monty Hartley;CHN;7674
Hôpital Robert Hidalgo;CHN;7445
Centre de Recherche Amanda Kniffen;CHN;6966
Centre de Recherche Wilma Dolinger;CHN;9695
Hôpital Tommy Parker;CHN;3398
Centre Hospitalier Elaine Estrada;CHN;6324
Institut Mary Madsen;CHN;1272
Institut Kevin Burns;CHN;3036
Centre Hospitalier Elizabeth Slone;CHN;5416
Hôpital Tiffany Gray;CHN;8994
Hôpital Patricia Moore;CHN;9057
Centre Hospitalier Universitaire Debra Herbst;CHN;7324
Centre Hospitalier Universitaire John Brinkley;CHN;7198
Centre Louise Stewart;CHN;5055
Centre Heidi Oberly;CHN;3904
Centre Médical Helen Krinn;CHN;2598
Centre de Recherche Yolanda Hubbard;CHN;1835
Centre Hospitalier Edward Leija;CHN;3064
Institut Jennifer Daniel;CHN;9133
Centre Hospitalier Arlene Bowman;CHN;8737
Centre Myrna Gonsman;CHN;2755
Centre de Recherche Ann Brown;CHN;9969
Centre Médical Jane Erickson;CHN;5265
Institut de Santé Todd Addison;CHN;4343
Institut de Santé Donald Luu;CHN;2724
Clinique Darrell Maiolo;CHN;6586
Clinique Shane Hicks;CHN;1462
Centre Joyce Hammonds;CHN;9353
Institut de Santé Larry Bautista;CHN;6125
Clinique Rickey Starling;CHN;3425
Centre Roberto King;CHN;6172
Centre de Recherche Loriann Pervez;CHN;2240
Centre Gail Toney;CHN;9358
Centre Hospitalier Priscilla Frey;CHN;9788
Centre Médical Dorothy Arnold;CHN;1646
Centre Médical Nicole Carlblom;CHN;7930
Centre Hospitalier Universitaire Joy Durham;CHN;8775
Institut de Santé Marie Harper;CHN;5000
Clinique Phillis Cicak;CHN;8573
Institut de Santé Mario Garrie;CHN;6739
Centre Hospitalier Margery Saunders;CHN;6476
Institut de Santé Thomas Haynes;CHN;8549
Institut Lynne Cohen;CHN;4401
