iso;date;deces;naissances
AFG;2021-03-09;1274;4041
AFG;2021-03-10;2666;3829
AFG;2021-03-11;2151;4317
AFG;2021-03-12;2429;3464
AFG;2021-03-13;2415;3779
AFG;2021-03-14;1050;4106
AFG;2021-03-15;2493;3274
AFG;2021-03-16;2173;2973
AFG;2021-03-17;2977;3678
AFG;2021-03-18;1398;4480
AFG;2021-03-19;2706;3188
AFG;2021-03-20;2314;4366
AFG;2021-03-21;2118;3734
AFG;2021-03-22;1938;4490
AFG;2021-03-23;2867;2557
AFG;2021-03-24;1897;3180
AFG;2021-03-25;1312;3091
AFG;2021-03-26;2435;3474
AFG;2021-03-27;1617;4340
AFG;2021-03-28;2392;3053
AFG;2021-03-29;2586;4497
AFG;2021-03-30;2409;3450
AFG;2021-03-31;2591;3565
AFG;2021-04-01;2149;4432
AFG;2021-04-02;2885;3679
AFG;2021-04-03;1459;3491
AFG;2021-04-04;1871;3162
AFG;2021-04-05;2208;2689
AFG;2021-04-06;1232;4439
AFG;2021-04-07;2906;3260
AFG;2021-04-08;2975;3936
AFG;2021-04-09;2848;3164
AFG;2021-04-10;2685;3710
AFG;2021-04-11;2684;2676
AFG;2021-04-12;1701;3358
AFG;2021-04-13;2605;2984
AFG;2021-04-14;1007;3277
AFG;2021-04-15;2843;2805
AFG;2021-04-16;2500;4395
AFG;2021-04-17;1502;2815
AFG;2021-04-18;1686;3085
AFG;2021-04-19;1541;3449
AFG;2021-04-20;2117;2513
AFG;2021-04-21;2687;2772
AFG;2021-04-22;2525;2665
AFG;2021-04-23;2528;3227
AFG;2021-04-24;1483;4017
AFG;2021-04-25;1112;3398
AFG;2021-04-26;2802;4315
AFG;2021-04-27;1938;4162
AFG;2021-04-28;2336;3023
AFG;2021-04-29;1715;4355
AFG;2021-04-30;2764;4415
AFG;2021-05-01;1442;2802
AFG;2021-05-02;1246;3456
AFG;2021-05-03;1515;4393
AFG;2021-05-04;1982;3942
AFG;2021-05-05;2992;3371
AFG;2021-05-06;1043;2530
AFG;2021-05-07;1943;3776
AFG;2021-05-08;1211;2939
AFG;2021-05-09;2470;3926
AFG;2021-05-10;2921;3963
ALB;2020-02-25;2680;3689
ALB;2020-02-26;2364;3922
ALB;2020-02-27;1351;3264
ALB;2020-02-28;1798;3274
ALB;2020-02-29;1375;3347
ALB;2020-03-01;2476;4480
ALB;2020-03-02;1138;4205
ALB;2020-03-03;2569;3459
ALB;2020-03-04;1595;3467
ALB;2020-03-05;1786;4299
ALB;2020-03-06;1560;2689
ALB;2020-03-07;2009;2856
ALB;2020-03-08;1463;3896
ALB;2020-03-09;2770;4293
ALB;2020-03-10;2614;4074
ALB;2020-03-11;2623;3149
ALB;2020-03-12;2242;2863
ALB;2020-03-13;2705;4416
ALB;2020-03-14;1505;2639
ALB;2020-03-15;2459;4334
ALB;2020-03-16;2687;2526
ALB;2020-03-17;1862;3291
ALB;2020-03-18;1843;2780
ALB;2020-03-19;2522;3885
ALB;2020-03-20;2224;4358
ALB;2020-03-21;2431;3146
ALB;2020-03-22;2632;4394
ALB;2020-03-23;1323;3558
ALB;2020-03-24;2559;3216
ALB;2020-03-25;1737;3902
ALB;2020-03-26;2106;3745
ALB;2020-03-27;1411;3786
ALB;2020-03-28;1992;3814
ALB;2020-03-29;1586;2783
ALB;2020-03-30;2673;2726
ALB;2020-03-31;1224;3418
ALB;2020-04-01;1830;4391
ALB;2020-04-02;1824;3152
ALB;2020-04-03;1643;2998
ALB;2020-04-04;2478;2558
ALB;2020-04-05;2297;2630
ALB;2020-04-06;1480;2681
ALB;2020-04-07;2522;2931
ALB;2020-04-08;2361;3450
ALB;2020-04-09;2862;2816
ALB;2020-04-10;1962;2682
ALB;2020-04-11;1353;2647
ALB;2020-04-12;1688;3854
ALB;2020-04-13;1555;3121
ALB;2020-04-14;1109;3105
ALB;2020-04-15;2710;3636
ALB;2020-04-16;2940;3884
ALB;2020-04-17;1265;2821
ALB;2020-04-18;1782;2846
ALB;2020-04-19;1054;2958
ALB;2020-04-20;1804;3531
ALB;2020-04-21;1420;2830
ALB;2020-04-22;2380;2690
ALB;2020-04-23;1697;4118
ALB;2020-04-24;1919;3752
ALB;2020-04-25;1407;2687
ALB;2020-04-26;2951;3235
ALB;2020-04-27;2153;2992
ALB;2020-04-28;2985;3633
ALB;2020-04-29;2034;4263
ALB;2020-04-30;1024;3960
ALB;2020-05-01;1638;3800
ALB;2020-05-02;2651;3368
ALB;2020-05-03;1314;3455
ALB;2020-05-04;1660;2981
ALB;2020-05-05;2216;2928
ALB;2020-05-06;1967;3388
ALB;2020-05-07;1730;3226
ALB;2020-05-08;1428;3236
ALB;2020-05-09;1308;3918
ALB;2020-05-10;2649;3072
ALB;2020-05-11;2411;4387
ALB;2020-05-12;1271;3483
ALB;2020-05-13;2315;3545
ALB;2020-05-14;1261;3306
ALB;2020-05-15;1825;3362
ALB;2020-05-16;1238;3016
ALB;2020-05-17;1942;4258
ALB;2020-05-18;2558;4092
ALB;2020-05-19;1009;4211
ALB;2020-05-20;1393;4343
ALB;2020-05-21;1231;2700
ALB;2020-05-22;1830;4160
ALB;2020-05-23;2317;4181
ALB;2020-05-24;1597;3083
ALB;2020-05-25;1439;4246
ALB;2020-05-26;2985;2750
ALB;2020-05-27;2033;3212
ALB;2020-05-28;2589;4275
ALB;2020-05-29;2726;4201
ALB;2020-05-30;1864;4020
ALB;2020-05-31;1120;2994
ALB;2020-06-01;2191;3037
ALB;2020-06-02;2880;3727
ALB;2020-06-03;2873;4392
ALB;2020-06-04;2202;4373
ALB;2020-06-05;1891;2581
ALB;2020-06-06;1109;3191
ALB;2020-06-07;1399;4287
ALB;2020-06-08;1258;3533
ALB;2020-06-09;2974;4483
ALB;2020-06-10;1316;3329
ALB;2020-06-11;2373;3213
ALB;2020-06-12;2314;2843
ALB;2020-06-13;1970;3010
ALB;2020-06-14;2715;2616
ALB;2020-06-15;2393;4022
ALB;2020-06-16;1264;2811
ALB;2020-06-17;2635;4291
ALB;2020-06-18;2964;3987
ALB;2020-06-19;2544;2992
ALB;2020-06-20;2684;2537
ALB;2020-06-21;1287;3225
ALB;2020-06-22;1783;3369
ALB;2020-06-23;2697;3922
ALB;2020-06-24;1901;3972
ALB;2020-06-25;1223;3045
ALB;2020-06-26;2435;4367
ALB;2020-06-27;2162;2989
ALB;2020-06-28;2369;4329
ALB;2020-06-29;1610;3451
ALB;2020-06-30;1278;4184
ALB;2020-07-01;2136;2564
ALB;2020-07-02;1385;4380
ALB;2020-07-03;2300;2561
ALB;2020-07-04;2786;2527
ALB;2020-07-05;1024;2508
ALB;2020-07-06;1085;3273
ALB;2020-07-07;1627;3166
ALB;2020-07-08;1895;4465
ALB;2020-07-09;2669;4124
ALB;2020-07-10;2397;3473
ALB;2020-07-11;2125;2571
ALB;2020-07-12;1476;2759
ALB;2020-07-13;2375;2930
ALB;2020-07-14;2651;2974
ALB;2020-07-15;2837;4467
ALB;2020-07-16;1985;4253
ALB;2020-07-17;1399;2673
ALB;2020-07-18;2458;2714
ALB;2020-07-19;2627;4046
ALB;2020-07-20;1116;2781
ALB;2020-07-21;2274;3258
ALB;2020-07-22;1568;3225
ALB;2020-07-23;1569;4271
ALB;2020-07-24;2879;3947
ALB;2020-07-25;2041;3973
ALB;2020-07-26;2732;2641
ALB;2020-07-27;1248;2720
ALB;2020-07-28;1462;4245
ALB;2020-07-29;2568;3036
ALB;2020-07-30;2510;4425
ALB;2020-07-31;2462;3672
ALB;2020-08-01;2361;2750
ALB;2020-08-02;2936;2669
ALB;2020-08-03;1610;3680
ALB;2020-08-04;2226;2915
ALB;2020-08-05;1162;3804
ALB;2020-08-06;1534;3974
ALB;2020-08-07;2035;2907
ALB;2020-08-08;2788;3610
ALB;2020-08-09;2802;3716
ALB;2020-08-10;2437;3010
ALB;2020-08-11;2410;3083
ALB;2020-08-12;1959;2511
ALB;2020-08-13;1717;2589
ALB;2020-08-14;1442;3378
ALB;2020-08-15;1281;4413
ALB;2020-08-16;1540;2890
ALB;2020-08-17;2818;3915
ALB;2020-08-18;2734;2911
ALB;2020-08-19;1475;4265
ALB;2020-08-20;2994;4421
ALB;2020-08-21;2003;3273
ALB;2020-08-22;1809;4014
ALB;2020-08-23;1468;4056
ALB;2020-08-24;2281;3412
ALB;2020-08-25;1203;3438
ALB;2020-08-26;2864;4362
ALB;2020-08-27;2184;4179
ALB;2020-08-28;1616;3580
ALB;2020-08-29;2194;2550
ALB;2020-08-30;1366;2715
ALB;2020-08-31;2865;2578
ALB;2020-09-01;2955;2979
ALB;2020-09-02;1241;3380
ALB;2020-09-03;2564;3370
ALB;2020-09-04;2742;3049
ALB;2020-09-05;1947;4059
ALB;2020-09-06;2700;3417
ALB;2020-09-07;2313;4043
ALB;2020-09-08;2258;2910
ALB;2020-09-09;2695;4176
ALB;2020-09-10;1821;3826
ALB;2020-09-11;1854;3658
ALB;2020-09-12;2039;2769
ALB;2020-09-13;2882;2951
ALB;2020-09-14;2766;2986
ALB;2020-09-15;1477;3882
ALB;2020-09-16;2742;2859
ALB;2020-09-17;1902;2873
ALB;2020-09-18;2967;3479
ALB;2020-09-19;2657;3268
ALB;2020-09-20;1106;3082
ALB;2020-09-21;2884;2528
ALB;2020-09-22;2339;4453
ALB;2020-09-23;1781;3128
ALB;2020-09-24;1495;3289
ALB;2020-09-25;1313;3141
ALB;2020-09-26;2014;3450
ALB;2020-09-27;2204;4141
ALB;2020-09-28;1617;4421
ALB;2020-09-29;1333;4328
ALB;2020-09-30;1993;3244
ALB;2020-10-01;1741;3113
ALB;2020-10-02;1845;2506
ALB;2020-10-03;1031;3016
ALB;2020-10-04;2038;2889
ALB;2020-10-05;1971;3660
ALB;2020-10-06;2187;4064
ALB;2020-10-07;2227;3799
ALB;2020-10-08;2163;3230
ALB;2020-10-09;1399;3786
ALB;2020-10-10;1446;3659
ALB;2020-10-11;2698;3618
ALB;2020-10-12;1328;3633
ALB;2020-10-13;2721;2884
ALB;2020-10-14;2216;2501
ALB;2020-10-15;2199;4313
ALB;2020-10-16;1252;3007
ALB;2020-10-17;2833;2907
ALB;2020-10-18;2464;3637
ALB;2020-10-19;1461;4088
ALB;2020-10-20;1947;4177
ALB;2020-10-21;1972;4071
ALB;2020-10-22;1802;4196
ALB;2020-10-23;2589;3441
ALB;2020-10-24;1277;2531
ALB;2020-10-25;2122;2854
ALB;2020-10-26;2409;2696
ALB;2020-10-27;1429;2655
ALB;2020-10-28;2260;3514
ALB;2020-10-29;2761;4443
ALB;2020-10-30;1356;3687
ALB;2020-10-31;2770;4440
ALB;2020-11-01;2735;3085
ALB;2020-11-02;2789;3161
ALB;2020-11-03;2285;3901
ALB;2020-11-04;1124;2776
ALB;2020-11-05;1688;2897
ALB;2020-11-06;1061;4307
ALB;2020-11-07;1548;3522
ALB;2020-11-08;1702;4312
ALB;2020-11-09;2863;3075
ALB;2020-11-10;2483;3312
ALB;2020-11-11;1511;3781
ALB;2020-11-12;1075;3595
ALB;2020-11-13;2930;3875
ALB;2020-11-14;1553;4481
ALB;2020-11-15;2620;2511
ALB;2020-11-16;2503;4041
ALB;2020-11-17;1810;4056
ALB;2020-11-18;2634;2769
ALB;2020-11-19;1128;4172
ALB;2020-11-20;1232;3916
ALB;2020-11-21;1911;4374
ALB;2020-11-22;1964;3463
ALB;2020-11-23;2365;3262
ALB;2020-11-24;2273;4241
ALB;2020-11-25;1748;2577
ALB;2020-11-26;1502;4240
ALB;2020-11-27;2282;3742
ALB;2020-11-28;1681;4095
ALB;2020-11-29;1594;2592
ALB;2020-11-30;2949;2880
ALB;2020-12-01;1417;3621
ALB;2020-12-02;1680;3951
ALB;2020-12-03;2322;4438
ALB;2020-12-04;2694;3376
ALB;2020-12-05;2729;3798
ALB;2020-12-06;2387;4436
ALB;2020-12-07;1487;4074
ALB;2020-12-08;2286;3832
ALB;2020-12-09;1809;2750
ALB;2020-12-10;2674;2831
ALB;2020-12-11;2241;3548
ALB;2020-12-12;1716;2726
ALB;2020-12-13;2332;3845
ALB;2020-12-14;2542;3002
ALB;2020-12-15;2760;3071
ALB;2020-12-16;2395;3649
ALB;2020-12-17;1781;3071
ALB;2020-12-18;1391;3833
ALB;2020-12-19;2642;3126
ALB;2020-12-20;1564;2867
ALB;2020-12-21;2693;4446
ALB;2020-12-22;1422;3498
ALB;2020-12-23;1896;3700
ALB;2020-12-24;1976;3114
ALB;2020-12-25;2693;3084
ALB;2020-12-26;1645;3748
ALB;2020-12-27;1603;3081
ALB;2020-12-28;1986;3791
ALB;2020-12-29;2027;4039
ALB;2020-12-30;1401;3516
ALB;2020-12-31;2765;3482
ALB;2021-01-01;2908;3787
ALB;2021-01-02;1117;2975
ALB;2021-01-03;2215;3531
ALB;2021-01-04;2518;2970
ALB;2021-01-05;2554;4041
ALB;2021-01-06;1872;3908
ALB;2021-01-07;2915;4089
ALB;2021-01-08;1218;4139
ALB;2021-01-09;2271;2638
ALB;2021-01-10;1762;4484
ALB;2021-01-11;2705;2570
ALB;2021-01-12;1458;3776
ALB;2021-01-13;1067;3387
ALB;2021-01-14;2228;3710
ALB;2021-01-15;2769;3538
ALB;2021-01-16;1919;3135
ALB;2021-01-17;1907;2889
ALB;2021-01-18;1272;2516
ALB;2021-01-19;1582;4134
ALB;2021-01-20;1057;3891
ALB;2021-01-21;2859;4157
ALB;2021-01-22;2379;3501
ALB;2021-01-23;2131;3524
ALB;2021-01-24;1574;3482
ALB;2021-01-25;1609;4340
ALB;2021-01-26;1740;3079
ALB;2021-01-27;2119;3397
ALB;2021-01-28;2165;3363
ALB;2021-01-29;2281;2575
ALB;2021-01-30;2716;3734
ALB;2021-01-31;2046;3027
ALB;2021-02-01;2066;3171
ALB;2021-02-02;1615;2697
ALB;2021-02-03;1755;3667
ALB;2021-02-04;2935;3376
ALB;2021-02-05;2368;3538
ALB;2021-02-06;1348;2735
ALB;2021-02-07;1260;2664
ALB;2021-02-08;1374;3805
ALB;2021-02-09;1636;2624
ALB;2021-02-10;2415;4005
ALB;2021-02-11;2751;4034
ALB;2021-02-12;2711;4101
ALB;2021-02-13;2366;3564
ALB;2021-02-14;2406;3955
ALB;2021-02-15;2565;3999
ALB;2021-02-16;2190;2970
ALB;2021-02-17;2330;3348
ALB;2021-02-18;2761;4092
ALB;2021-02-19;1800;3887
ALB;2021-02-20;2176;2930
ALB;2021-02-21;2661;4043
ALB;2021-02-22;2734;2892
ALB;2021-02-23;1467;3297
ALB;2021-02-24;2877;4479
ALB;2021-02-25;2140;4363
ALB;2021-02-26;1620;4454
ALB;2021-02-27;1726;3249
ALB;2021-02-28;2216;2835
ALB;2021-03-01;2723;4343
ALB;2021-03-02;2238;2747
ALB;2021-03-03;1888;2898
ALB;2021-03-04;1282;3842
ALB;2021-03-05;1498;3240
ALB;2021-03-06;1693;4150
ALB;2021-03-07;2683;2689
ALB;2021-03-08;1547;3508
ALB;2021-03-09;2590;2540
ALB;2021-03-10;2079;2591
